"Reference","Qty","Value"
"C1,C4,C6","3","100nF"
"C2,C3,C7","3","4.7uF"
"C5","1","2.2uF"
"CARD1","1","TF-115"
"CHG1","1","SZYY0603Y"
"D1","1","MBR120LSF"
"J1","1","S2B-PH-SM4-TB"
"PWR1","1","SZYY0603Y"
"Q1,Q2","2","S8050"
"Q3,Q4","2","AO3401"
"R-CC1,R-CC2","2","5.1k"
"R1,R3,R7,R8,R9,R10,R11,R12,R13,R14,R15","11","10K"
"R1_1,R1_2,R1_3,R1_4","4","10K"
"R2,R4,R6","3","1K"
"R2_1,R2_2,R2_3","3","1K"
"R5","1","2K"
"SW1,SW2","2","SW_Omron_B3FS"
"SW3","1","K3-1296S-E1_C128955"
"SW5","1","UP"
"SW6","1","LEFT"
"SW7","1","CENTER"
"SW8","1","RIGHT"
"SW9","1","DOWN"
"U1","1","ESP32-WROOM-32"
"U2","1","MCP73831T-2ACI_OT"
"U3","1","CP2104"
"U4","1","MIC5219-3.3YM5"
"U5","1","TFT"
"USBC1","1","USB_C_Receptacle_USB2.0_16P"
